code,name,text,type_code,traits,pack_code,illustrator,image_url,xp,faction_code
60415,Parallel Fates,"Look at the top 4 cards of the encounter deck. Reveal a random token from the chaos bag. If it has a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol, shuffle those cards into the encounter deck. Otherwise, return them to the top of the encounter deck in any order.",event,Augury,jac,Alice Duke,https://arkhamdb.com/bundles/cards/60415.jpg,0,mystic
60416,Voice of Ra,"Gain 1 resource. Reveal 3 random tokens from the chaos bag. For each [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol revealed, gain an additional 2 resources.",event,Spell,jac,Matt Bradbury,https://arkhamdb.com/bundles/cards/60416.jpg,0,mystic
60419,Prescient,"Max 1 committed per skill test. After you commit Prescient to a skill test, name ""even,"" ""odd,"" or ""symbol."" After this test ends, if a chaos token of the named type was revealed during this test, you may return a [[Spell]] card from your discard pile to your hand.",skill,Practiced|Augury,jac,Magali Villeneuve,https://arkhamdb.com/bundles/cards/60419.jpg,0,mystic
60420,Eldritch Inspiration,"Fast. Play when you would resolve an effect on a [mystic] card that triggers ""when,"" ""if,"" or ""after"" a chaos token is revealed. Either cancel that effect, or resolve it an additional time.",event,Spell|Spirit,jac,Rafał Hrynkiewicz,https://arkhamdb.com/bundles/cards/60420.jpg,1,mystic
60421,Grotesque Statue,"Uses (3 charges). If Grotesque Statue has no charges, discard it. [reaction] When you would reveal a chaos token, spend 1 charge: Reveal 2 chaos tokens instead of 1. Choose one of those tokens to resolve, and ignore the other.",asset,Item|Relic,jac,Josh Stewart,https://arkhamdb.com/bundles/cards/60421.jpg,2,mystic
60422,Robes of Endless Night,"[reaction] When you play a [[Spell]] card, exhaust Robes of Endless Night: Reduce the cost of that card by 1. Playing that card does not provoke attacks of opportunity.",asset,Item|Clothing,jac,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60422.jpg,2,mystic
60423,Hypnotic Gaze,"Fast. Play when an enemy attacks an investigator at your location. Cancel that attack. Then, reveal a random token from the chaos bag. If it has a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol, deal damage to the attacking enemy equal to its damage or horror.",event,Spell,jac,Falk,https://arkhamdb.com/bundles/cards/60423.jpg,2,mystic
60424,Guts,"Max 1 committed per skill test. If this test is successful, draw 1 card (2 cards instead if it succeeds by 2 or more).",skill,Innate|Developed,jac,Clark Huggins,https://arkhamdb.com/bundles/cards/60424.jpg,2,mystic
60425,Azure Flame,"Uses (4 charges). [action] Spend 1 charge: Fight. This attack uses [willpower] instead of [combat]. You get +2 [willpower] and deal +1 damage for this attack. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this attack, take 1 damage.",asset,Spell,jac,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60425.jpg,3,mystic
60426,Clairvoyance,"Uses (3 charges). [action] Spend 1 charge: Investigate. Investigate using [willpower] instead of [intellect]. You get +2 [willpower] for this investigation. If you succeed, discover 1 additional clue at this location. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this investigation, take 1 horror.",asset,Spell,jac,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60426.jpg,3,mystic
60427,Ineffable Truth,"Uses (3 charges). [action] Spend 1 charge: Evade. This evasion attempt uses [willpower] instead of [agility]. You get +2 [willpower] for this evasion attempt. If you succeed, deal 1 damage to the evaded enemy. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this evasion attempt, lose 1 resource.",asset,Spell,jac,Romana Kendelic,https://arkhamdb.com/bundles/cards/60427.jpg,3,mystic
60428,Arcane Studies,Uses (2 resources). Replenish these resources at the start of each round. [fast] Spend 1 resource from your resource pool or from Arcane Studies: You get +1 [willpower] or +1 [intellect] for this skill test.,asset,Talent,jac,Alexandre Dainche,https://arkhamdb.com/bundles/cards/60428.jpg,4,mystic
60429,Recharge,"Choose a [[Spell]] or [[Relic]] asset controlled by an investigator at your location and reveal a random chaos token from the chaos bag. If you reveal a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol, add 1 charge to the chosen asset. Otherwise, add 4 charges to the chosen asset.",event,Spell,jac,Martin de Diego Sádaba,https://arkhamdb.com/bundles/cards/60429.jpg,4,mystic
60430,Azure Flame,"Uses (4 charges). [action] Spend 1 charge: Fight. This attack uses [willpower] instead of [combat]. You get +3 [willpower] and deal +2 damage for this attack. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this attack, take 2 damage.",asset,Spell,jac,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60430.jpg,5,mystic
60431,Clairvoyance,"Uses (3 charges). [action] Spend 1 charge: Investigate. Investigate using [willpower] instead of [intellect]. You get +3 [willpower] for this investigation. If you succeed, discover 2 additional clues at this location. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this investigation, take 2 horror.",asset,Spell,jac,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60431.jpg,5,mystic
60432,Ineffable Truth,"Uses (3 charges). [action] Spend 1 charge: Evade. This evasion attempt uses [willpower] instead of [agility]. You get +3 [willpower] for this evasion attempt. If you succeed, deal 2 damage to the evaded enemy. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this evasion attempt, lose 2 resources.",asset,Spell,jac,Romana Kendelic,https://arkhamdb.com/bundles/cards/60432.jpg,5,mystic
60501,Stella Clark,[reaction] After you fail a skill test: You may take an additional action during your turn this round. (Limit once per round.) [elder_sign] effect: +1. You may instead choose to automatically fail this skill test to heal 1 damage and 1 horror.,investigator,Chosen|Civic,ste,Aleksander Karcz,https://arkhamdb.com/bundles/cards/60501.jpg,0,survivor
60502,Neither Rain nor Snow,"Stella Clark deck only. If this skill test fails, cancel all effects of the failed test.",skill,Innate|Developed,ste,Aleksander Karcz,https://arkhamdb.com/bundles/cards/60502.jpg,0,survivor
60503,Called by the Mists,Revelation - Put Called by the Mists into play in your threat area. Forced - After you initiate a skill test with a difficulty of 4 or higher: Take 1 damage. [action] [action]: Discard Called by the Mists.,treachery,Curse,ste,Nele Diel,https://arkhamdb.com/bundles/cards/60503.jpg,0,neutral
60504,Atychiphobia,Revelation - Put Atychiphobia into play in your threat area. Forced - After you fail a skill test: Take 1 horror. [action] [action]: Discard Atychiphobia.,treachery,Madness,ste,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60504.jpg,0,neutral
60505,.18 Derringer,"Uses (2 ammo). [action] Spend 1 ammo: Fight. You get +2 [combat] and deal +1 damage for this attack. If you fail, place 1 ammo on .18 Derringer.",asset,Item|Weapon|Firearm|Illicit,ste,Tiziano Baracchi,https://arkhamdb.com/bundles/cards/60505.jpg,0,survivor
60506,Grimm's Fairy Tales,"Uses (4 secrets). [reaction] After an investigator at your location fails a skill test by 2 or more, exhaust Grimm's Fairy Tales and spend 1 secret: Heal 1 horror from that investigator.",asset,Item|Tome,ste,Robert Laskey,https://arkhamdb.com/bundles/cards/60506.jpg,0,survivor
60507,Old Keyring,"Uses (2 keys). If there are no keys on Old Keyring, discard it. [action]: Investigate. Your location gets -2 shroud for this investigation. If you succeed, remove 1 key from Old Keyring.",asset,Item|Tool,ste,Robert Laskey,https://arkhamdb.com/bundles/cards/60507.jpg,0,survivor
60508,Granny Orne,"You get +1 [willpower]. [reaction] When an investigator at your location would fail a skill test, exhaust Granny Orne: That investigator fails by either 1 less or 1 more.",asset,Ally,ste,Romana Kendelic,https://arkhamdb.com/bundles/cards/60508.jpg,0,survivor
60509,Mysterious Raven,[fast] Discard Mysterious Raven and take 1 horror: Discover 1 clue at your location.,asset,Ally|Creature,ste,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60509.jpg,0,survivor
60511,Scrapper,[fast] Spend 1 resource: You get +1 [combat] for this skill test. [fast] Spend 1 resource: You get +1 [agility] for this skill test.,asset,Talent,ste,Daniel Dulitzky,https://arkhamdb.com/bundles/cards/60511.jpg,0,survivor
60512,Will to Survive,Fast. Play only during your turn. Do not reveal chaos tokens for the next skill test you perform this turn.,event,Spirit,ste,Ilich Henriquez,https://arkhamdb.com/bundles/cards/60512.jpg,0,survivor
60513,A Test of Will,"Fast. Play when an investigator at your location draws a non-weakness treachery card. Test [willpower] (3). If you succeed, cancel that card's revelation effect.",event,Spirit,ste,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60513.jpg,0,survivor
60515,Grit Your Teeth,Fast. Play after you fail a skill test. You get +1 to each of your skills for the remainder of the round.,event,Spirit,ste,Andreia Ugrai,https://arkhamdb.com/bundles/cards/60515.jpg,0,survivor
60520,Cherished Keepsake,Forced - When Cherished Keepsake is defeated by horror: Exile it.,asset,Item|Charm,ste,Robert Laskey,https://arkhamdb.com/bundles/cards/60520.jpg,1,survivor
60521,Leather Coat,Forced - When Leather Coat is defeated by damage: Exile it.,asset,Item|Armor,ste,Andreia Ugrai,https://arkhamdb.com/bundles/cards/60521.jpg,1,survivor
60522,.18 Derringer,"Uses (3 ammo). [action] Spend 1 ammo: Fight. You get +2 [combat] and deal +1 damage for this attack. If you fail, place 1 ammo on .18 Derringer and the next time you trigger this ability this round, you get an additional +1 [combat] for that attack.",asset,Item|Weapon|Firearm|Illicit,ste,Tiziano Baracchi,https://arkhamdb.com/bundles/cards/60522.jpg,2,survivor
60523,A Test of Will,"Fast. Play when an investigator at your location draws a non-weakness treachery card. Cancel that card's revelation effect. Then, test [willpower] (3). If you fail, exile A Test of Will.",event,Spirit,ste,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60523.jpg,2,survivor
60524,"""Look what I found!""",Fast. Play after you fail a skill test by 3 or less while investigating. Discover 2 total clues from among your location and connecting locations.,event,Fortune,ste,Mark Molnar,https://arkhamdb.com/bundles/cards/60524.jpg,2,survivor
60525,Dumb Luck,Fast. Play after you fail a skill test by 3 or less during an evasion attempt against a non-[[Elite]] enemy. Place that enemy on the bottom of the encounter deck.,event,Fortune,ste,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60525.jpg,2,survivor
60526,Unexpected Courage,"Max 1 committed per skill test. If this test fails, return Unexpected Courage to your hand.",skill,Innate|Developed,ste,Dleoblack,https://arkhamdb.com/bundles/cards/60526.jpg,2,survivor
60527,Granny Orne,"You get +1 [willpower] and +1 [intellect]. [reaction] When an investigator at your location would fail a skill test, exhaust Granny Orne: That investigator either gets +1 skill value or -1 skill value for that test.",asset,Ally,ste,Romana Kendelic,https://arkhamdb.com/bundles/cards/60527.jpg,3,survivor
60528,Lucky!,Fast. Play when an investigator at your location would fail a skill test. They get +3 to their skill value for that test. That investigator draws 1 card.,event,Fortune,ste,David Auden Nash,https://arkhamdb.com/bundles/cards/60528.jpg,3,survivor
60529,Chainsaw,"Uses (3 supplies). [action] Spend 1 supply: Fight. You get +2 [combat] and deal +2 damage for this attack. If this attack fails, either place 1 supply on Chainsaw or deal 1 damage to the attacked enemy.",asset,Item|Tool|Weapon|Melee,ste,Dual Brush Studios,https://arkhamdb.com/bundles/cards/60529.jpg,4,survivor
60530,Quick Learner,"Permanent. During or before your first action of each of your turns, each skill test you perform gets +1 difficulty. During or after your third action of each of your turns, each skill test you perform gets -1 difficulty.",asset,Condition,ste,Julepe,https://arkhamdb.com/bundles/cards/60530.jpg,4,survivor
60531,Déjà Vu,"Permanent. In between two scenarios of a campaign, reduce the experience cost to repurchase up to 3 cards that you exiled during the last scenario by 1 each.",asset,Talent|Cursed,ste,Stephen Somers,https://arkhamdb.com/bundles/cards/60531.jpg,5,survivor
60101,Nathaniel Cho,"[reaction] When you deal damage to an enemy by an event or a fight ability on an event: Deal 1 additional damage. (Limit once per phase.) [elder_sign] effect: +1. If this skill test is successful during an attack, return an event from your discard pile to your hand.",investigator,Criminal|Warden,nat,Aleksander Karcz,https://arkhamdb.com/bundles/cards/60101.jpg,0,guardian
60102,Randall Cho,"Nathaniel Cho deck only. [reaction] After Randall Cho enters play: Heal 3 damage or search your deck and discard pile for a [[Weapon]] asset, play it (paying its cost) , and shuffle your deck.",asset,Ally|Medic,nat,Derek D. Edgell,https://arkhamdb.com/bundles/cards/60102.jpg,0,guardian
60103,Tommy Malloy,Prey - Nathaniel Cho only. Hunter. Forced - When Tommy Malloy would take any amount of damage: Reduce that amount to 1.,enemy,Humanoid|Criminal|Syndicate,nat,Mark Molnar,https://arkhamdb.com/bundles/cards/60103.jpg,0,neutral
60104,Self-Destructive,Revelation - Put Self-Destructive into play in your threat area. Forced - When you deal 1 or more damage to an enemy: Take 1 damage. [action] [action]: Discard Self-Destructive.,treachery,Flaw,nat,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60104.jpg,0,neutral
60105,Boxing Gloves,"You get +1 [combat] while fighting. [reaction] After you defeat an enemy, exhaust Boxing Gloves: Search the top 6 cards of your deck for a [[Spirit]] event and add it to your hand. Shuffle your deck.",asset,Item|Weapon,nat,Robert Laskey,https://arkhamdb.com/bundles/cards/60105.jpg,0,guardian
60106,Flesh Ward,"Uses (4 charges). [reaction] When you are dealt damage and/or horror from an enemy attack, exhaust Flesh Ward and spend 1 charge: Cancel 1 damage or horror just dealt from that attack.",asset,Ritual,nat,Ilich Henriquez,https://arkhamdb.com/bundles/cards/60106.jpg,0,guardian
60107,Grete Wagner,"You get +1 [combat]. [reaction] After you defeat an enemy, exhaust Grete Wagner and deal 1 damage to her: Discover 1 clue at your location.",asset,Ally|Hunter,nat,Ilich Henriquez,https://arkhamdb.com/bundles/cards/60107.jpg,0,guardian
60109,Relentless,"[reaction] When you deal excess damage to an enemy, exhaust Relentless: Place that excess damage on Relentless. [fast] Discard Relentless: Gain resources equal to the amount of damage on it.",asset,Talent,nat,Robert Laskey,https://arkhamdb.com/bundles/cards/60109.jpg,0,guardian
60110,Safeguard,"[reaction] After another investigator moves from your location to a connecting location, exhaust Safeguard: Move to that location.",asset,Talent,nat,Lukas Banas,https://arkhamdb.com/bundles/cards/60110.jpg,0,guardian
60111,Clean Them Out,"Fight. When this action begins, gain 2 resources.",event,Spirit|Tactic,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60111.jpg,0,guardian
60112,Counterpunch,"Fast. Play after an enemy attacks you, even if that attack was canceled. Fight. This attack targets the attacking enemy.",event,Spirit|Tactic,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60112.jpg,0,guardian
60114,"""Get over here!""","Engage. Fight. Choose a non-[[Elite]] enemy at your location or a connecting location. Move that enemy to your location, engage it, and attack it.",event,Spirit|Tactic,nat,Derek D. Edgell,https://arkhamdb.com/bundles/cards/60114.jpg,0,guardian
60115,Glory,Fast. Play after you defeat an enemy. Draw 2 cards.,event,Spirit,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60115.jpg,0,guardian
60116,Monster Slayer,Fight. This attack deals +1 damage.,event,Spirit,nat,Henning Ludvigsen,https://arkhamdb.com/bundles/cards/60116.jpg,0,guardian
60117,One-Two Punch,"Fight. You get +1 [combat] for this attack. If you succeed, you may fight that enemy again. You get +2 [combat] and deal +1 damage for that attack.",event,Spirit|Tactic,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60117.jpg,0,guardian
60118,Stand Together,Choose another investigator at your location. Both you and that investigator gain 2 resources.,event,Spirit,nat,Brad Rigney,https://arkhamdb.com/bundles/cards/60118.jpg,0,guardian
60120,Evidence!,Fast. Play after you defeat an enemy. Discover 1 clue at your location (2 clues instead if you defeated enemies with a combined total of at least 4 printed health this turn).,event,Insight,nat,Mark Behm,https://arkhamdb.com/bundles/cards/60120.jpg,1,guardian
60121,Galvanize,"Fast. Play only during your turn. Ready a [guardian] asset you control. You may take an additional action during your turn, which can only be used to fight.",event,Spirit,nat,Tony Foti,https://arkhamdb.com/bundles/cards/60121.jpg,1,guardian
60122,Counterpunch,Fast. Play when an enemy attacks you (before resolving that attack) . Fight. This attack targets the attacking enemy. You get +2 [combat] and deal +1 damage for this attack.,event,Spirit|Tactic,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60122.jpg,2,guardian
60123,"""Get over here!""","Fast. Play during any [fast] window. Engage. Fight. Choose a non-[[Elite]] enemy up to 2 locations away. Move that enemy to your location, engage it, and attack it.",event,Spirit|Tactic,nat,Derek D. Edgell,https://arkhamdb.com/bundles/cards/60123.jpg,2,guardian
60124,Lesson Learned,Fast. Play after you take damage from an enemy attack. Discover 2 clues at your location.,event,Insight|Spirit,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60124.jpg,2,guardian
60125,Mano a Mano,Play only as your first action. Deal 2 damage to an enemy engaged with you. This action does not provoke attacks of opportunity.,event,Spirit|Bold,nat,Mauro Dal Bo,https://arkhamdb.com/bundles/cards/60125.jpg,2,guardian
60126,Overpower,"Max 1 committed per skill test. If this test is successful, draw 1 card (2 cards instead if it succeeds by 2 or more).",skill,Practiced|Expert,nat,Jose Vega,https://arkhamdb.com/bundles/cards/60126.jpg,2,guardian
60127,Boxing Gloves,"You get +2 [combat] while fighting. [reaction] After you defeat an enemy, exhaust Boxing Gloves: Search the top 9 cards of your deck for a [[Spirit]] event and add it to your hand. Shuffle your deck.",asset,Item|Weapon,nat,Robert Laskey,https://arkhamdb.com/bundles/cards/60127.jpg,3,guardian
60128,Grete Wagner,"You get +1 [combat] and +1 [intellect]. [reaction] After you defeat an enemy, exhaust Grete Wagner and deal 1 damage to her: Discover 1 clue at your location or a connecting location.",asset,Ally|Hunter,nat,Ilich Henriquez,https://arkhamdb.com/bundles/cards/60128.jpg,3,guardian
60129,Dynamite Blast,Fast. Play during any [fast] window. Choose either your location or a connecting location. Deal 3 damage to each enemy and investigator at the chosen location.,event,Tactic,nat,Dimitri Bielak,https://arkhamdb.com/bundles/cards/60129.jpg,3,guardian
60130,Taunt,"Fast. Play during any [fast] window. Engage any number of enemies at your location. For each enemy engaged this way, deal it 1 damage and draw 1 card.",event,Tactic,nat,John Pacer,https://arkhamdb.com/bundles/cards/60130.jpg,3,guardian
60131,Physical Training,Uses (2 resources). Replenish these resources at the start of each round. [fast] Spend 1 resource from your resource pool or from Physical Training: You get +1 [willpower] or +1 [combat] for this skill test.,asset,Talent,nat,Lake Hurwitz,https://arkhamdb.com/bundles/cards/60131.jpg,4,guardian
60132,One-Two Punch,Fight. You automatically succeed and deal +1 damage for this attack. You may fight again. You get +3 [combat] and deal +2 damage for that attack.,event,Spirit|Tactic,nat,Patrick McEvoy,https://arkhamdb.com/bundles/cards/60132.jpg,5,guardian
60201,Harvey Walters,[reaction] After an investigator at your location draws 1 or more cards from their deck during the investigation phase: That investigator draws 1 card. (Limit once per round.) [elder_sign] effect: +1. Draw 1 card.,investigator,Miskatonic,har,Aleksander Karcz,https://arkhamdb.com/bundles/cards/60201.jpg,0,seeker
60202,Vault of Knowledge,"Harvey Walters deck only. Your maximum hand size is increased by 2. [reaction] After you successfully investigate, exhaust Vault of Knowledge and choose an investigator at your location: That investigator draws 1 card.",asset,Talent,har,Cristi Balanescu,https://arkhamdb.com/bundles/cards/60202.jpg,0,seeker
60203,Thrice-Damned Curiosity,Revelation - For every 3 cards in your hand: Take 1 damage.,treachery,Flaw,har,Paolo Puggioni,https://arkhamdb.com/bundles/cards/60203.jpg,0,neutral
60204,Obsessive,Revelation - Put Obsessive into play in your threat area. Forced - When your turn begins: Discard 1 non-weakness card at random from your hand. [action] [action]: Discard Obsessive.,treachery,Flaw,har,Jeff Himmelman,https://arkhamdb.com/bundles/cards/60204.jpg,0,neutral
60205,Arcane Enlightenment,"Your maximum hand size is increased by 1. You have 1 additional hand slot, which can only be used to hold a [[Tome]] asset.",asset,Ritual,har,Matt Bradbury,https://arkhamdb.com/bundles/cards/60205.jpg,0,seeker
60206,Celaeno Fragments,"While you have... - ...5 or more cards in hand, you get +1 [intellect]. - ...10 or more cards in hand, you get +1 [willpower]. - ...15 or more cards in hand, you get +1 [intellect].",asset,Item|Tome,har,Dimitri Bielak,https://arkhamdb.com/bundles/cards/60206.jpg,0,seeker
60207,Disc of Itzamna,"[reaction] When a non-[[Elite]] enemy spawns at your location, discard Disc of Itzamna: Automatically evade that enemy or deal it 2 damage.",asset,Item|Relic,har,Melissa Findley,https://arkhamdb.com/bundles/cards/60207.jpg,0,seeker
60208,Encyclopedia,Uses (5 secrets). [action] Exhaust Encyclopedia and spend 1 secret: Choose an investigator at your location. That investigator gets +2 to a skill of your choice until the end of the phase.,asset,Item|Tome,har,Eric Wilkerson,https://arkhamdb.com/bundles/cards/60208.jpg,0,seeker
60209,Feed the Mind,"Uses (3 secrets). [action] Exhaust Feed the Mind and spend 1 secret: Test [intellect] (1). For each point you succeed by (to a maximum of 3), draw 1 card.",asset,Spell,har,Dual Brush Studios,https://arkhamdb.com/bundles/cards/60209.jpg,0,seeker
60210,Forbidden Tome,"Uses (5 secrets). [action] Exhaust Forbidden Tome and spend 1 secret: Draw 1 card. Then, if you have 10 or more cards in your hand and there are no secrets on Forbidden Tome, you may discard it to record in your Campaign Log that ""you have translated the tome.""",asset,Item|Relic|Tome,har,Chris Miscik,https://arkhamdb.com/bundles/cards/60210.jpg,0,seeker
60211,Higher Education,"While you have 5 or more cards in your hand, Higher Education gains: ""[fast] Spend 1 resource: You get +1 [willpower] for this skill test. [fast] Spend 1 resource: You get +1 [intellect] for this skill test.""",asset,Talent,har,Borja Pindado,https://arkhamdb.com/bundles/cards/60211.jpg,0,seeker
60213,Whitton Greene,"While you control a [[Tome]] or [[Relic]] asset, you get +1 [intellect]. [reaction] After you reveal a location or put a new location into play, exhaust Whitton Greene: Search the top 6 cards of your deck for a [[Tome]] or [[Relic]] asset and draw it. Shuffle your deck.",asset,Ally|Miskatonic,har,Alexandre Dainche,https://arkhamdb.com/bundles/cards/60213.jpg,0,seeker
60214,Burning the Midnight Oil,"Investigate. When this action begins, gain 2 resources.",event,Insight,har,Paolo Puggioni,https://arkhamdb.com/bundles/cards/60214.jpg,0,seeker
60215,Cryptic Writings,Gain 2 resources. [reaction] After you draw Cryptic Writings during your turn: Play it.,event,Insight,har,Anna Christenson,https://arkhamdb.com/bundles/cards/60215.jpg,0,seeker
60216,Extensive Research,Reduce the cost to play Extensive Research by 1 for each other card in your hand. Discover 2 clues at your location.,event,Insight,har,Andreia Ugrai,https://arkhamdb.com/bundles/cards/60216.jpg,0,seeker
60217,Occult Invocation,"As an additional cost to play Occult Invocation, discard up to 2 cards from your hand. Fight. This attack uses [intellect] instead of [combat]. You get +1 [intellect] and deal +1 damage for this attack for each card discarded as part of this card's cost.",event,Spell,har,Paolo Puggioni,https://arkhamdb.com/bundles/cards/60217.jpg,0,seeker
60220,Library Docent,"[reaction] After Library Docent enters play, return a [[Tome]] asset you control to its owner's hand: Play a different [[Tome]] asset (by title) from your hand, reducing its cost by 2.",asset,Ally|Miskatonic,har,Quintin Gleim,https://arkhamdb.com/bundles/cards/60220.jpg,1,seeker
60221,Glimpse the Unthinkable,"Draw 1 card. Shuffle any number of non-weakness cards from your hand into your deck. Then, draw that many cards.",event,Insight,har,Brian Valenzuela,https://arkhamdb.com/bundles/cards/60221.jpg,1,seeker
60222,Esoteric Atlas,Uses (4 secrets). [action] Spend 1 secret: Choose a revealed location up to 3 connections away from your location. Move to that location.,asset,Item|Tome,har,Derek D. Edgell,https://arkhamdb.com/bundles/cards/60222.jpg,2,seeker
60223,Whitton Greene,"While you control a [[Tome]] or [[Relic]] asset, you get +1 [willpower] and +1 [intellect]. [reaction] After you reveal a location or put a new location into play, exhaust Whitton Greene: Search the top 9 cards of your deck for a [[Tome]] or [[Relic]] asset and draw it. Shuffle your deck.",asset,Ally|Miskatonic,har,Alexandre Dainche,https://arkhamdb.com/bundles/cards/60223.jpg,2,seeker
60224,Cryptic Writings,Gain 3 resources (4 resources instead if you have 10 or more other cards in hand). [reaction] After you draw Cryptic Writings during your turn: Play it.,event,Insight,har,Anna Christenson,https://arkhamdb.com/bundles/cards/60224.jpg,2,seeker
60225,"""I've got a plan!""",Fight. This attack uses [intellect] instead of [combat]. You get +2 [intellect] for this test. You deal +1 damage for this attack for each clue you have (max +3 damage).,event,Insight|Tactic,har,Robert Laskey,https://arkhamdb.com/bundles/cards/60225.jpg,2,seeker
60226,Mind over Matter,"Fast. Play during your turn. Until the end of the round, add your [intellect] to your [combat] and [agility]. Draw 1 card.",event,Insight,har,Maggie Ivy,https://arkhamdb.com/bundles/cards/60226.jpg,2,seeker
